pergunta,opcao1,opcao2,opcao3,opcao4,resposta_correta
Qual é a capital da França?,Londres,Paris,Roma,Berlim,2
Qual é o maior planeta do sistema solar?,Terra,Marte,Júpiter,Vênus,3
"Quem escreveu ""Dom Quixote""?",Miguel de Cervantes,William Shakespeare,Machado de Assis,Charles Dickens,1
"Qual é o elemento químico com símbolo ""O""?",Ouro,Oxigênio,Ósmio,Olivínio,2
Qual é o maior oceano do mundo?,Atlântico,Índico,Ártico,Pacífico,4
Quantos continentes existem?,5,6,7,8,3
Qual é o animal nacional da Austrália?,Canguru,Coala,Emu,Ornitorrinco,1
Qual é a moeda oficial do Japão?,Yuan,Won,Yen,Dólar,3
Quem pintou a Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,3
Qual é o maior deserto do mundo?,Deserto do Saara,Deserto da Arábia,Deserto de Gobi,Antártida,4
