pergunta,opcao1,opcao2,opcao3,opcao4,resposta_correta
Quem descobriu o Brasil?,Pedro Álvares Cabral,Cristóvão Colombo,Fernão de Magalhães,Vasco da Gama,1
Em que ano o Brasil foi descoberto?,1492,1500,1520,1600,2
Qual foi o primeiro nome dado ao Brasil?,Terra de Santa Cruz,Pindorama,Ilha de Vera Cruz,Terra dos Papagaios,1
Quem foi o primeiro presidente do Brasil?,Deodoro da Fonseca,Getúlio Vargas,Juscelino Kubitschek,Dom Pedro II,1
Qual foi o principal produto de exportação do Brasil no período colonial?,Café,Açúcar,Ouro,Borracha,2
Qual foi o movimento que levou à independência do Brasil?,Inconfidência Mineira,Revolução Farroupilha,Revolução Praieira,Revolução Liberal,1
Em que ano a Proclamação da República ocorreu no Brasil?,1889,1822,1840,1900,1
Qual foi a capital do Brasil antes de Brasília?,Rio de Janeiro,São Paulo,Salvador,Belo Horizonte,1
Quem foi o líder da Revolução de 1930?,Getúlio Vargas,Juscelino Kubitschek,Floriano Peixoto,Epitácio Pessoa,1
Qual foi o principal motivo da vinda da família real portuguesa para o Brasil em 1808?,Guerra Napoleônica,Independência do Brasil,Revolução Industrial,Revolução Francesa,1
